,name,org_nr,address,post_code,post_area,rating,price_level,user_ratings_total,agg_grade,mean_inspection_type,total_inspections,website,reservable,dine_in,worst_grade,mean_grade,count_grade_0,count_grade_1,count_grade_2,count_grade_3,has_summary,weighted_score,priority
156,Burger King Sæter,815162862,EKEBERGVEIEN 235,1162,OSLO,3.5,1.0,360.0,4,0.25,4,1,0,1,2,1.0,1,2,1,0,1,2.0,1
157,Burger King Torggata,819070202,Torggata 24,0182,OSLO,3.4,1.0,652.0,2,0.0,2,1,0,1,1,1.0,0,2,0,0,1,1.0,0
158,Burger King Ullevål,979954964,Sognsveien 75 A,0855,OSLO,3.8,1.0,444.0,3,0.0,4,1,0,1,1,0.75,1,3,0,0,1,1.0,0
159,Bydels Kroa Mat & Vin AS ,928317358,Eiriks gate 17A,0650,OSLO,3.9,1.0,121.0,1,0.0,1,0,0,1,1,1.0,0,1,0,0,0,1.0,0
160,Bygdøy sushi AS,891718462,Bygdøy allé 66,0265,OSLO,4.0,2.0,92.0,24,0.7333333333333333,15,1,0,1,3,1.6,4,0,9,2,0,4.909090909090909,2
163,CANVAS CAFÉ AS,925624039,Brobekkveien 54,0598,OSLO,4.9,2.0,15.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
164,COFFEEHEAVEN,922336717,Smalgangen 14,0188,OSLO,4.3,2.0,77.0,2,0.5,2,0,0,1,2,1.0,1,0,1,0,0,4.0,2
165,Cafe Amsterdam,913912373,KRISTIAN AUGUSTGATE 12,0164,OSLO,4.3,2.0,956.0,9,0.2222222222222222,9,1,1,1,3,1.0,4,2,2,1,0,3.8,2
166,Cafe Billabong ,999237975,BOGSTADVEIEN 53A,0366,OSLO,4.1,2.0,363.0,17,0.5384615384615384,13,1,1,1,3,1.3076923076923077,6,0,4,3,0,6.142857142857143,2
167,Cafe Cathedral,982345693,DRONNINGENS GATE 27,0154,OSLO,4.1,2.0,1653.0,5,0.2857142857142857,7,1,1,1,2,0.7142857142857143,4,1,2,0,0,3.0,1
168,Cafe Europa,980320979,ST OLAVS GATE 31,0166,OSLO,4.1,2.0,92.0,4,0.0,5,1,1,1,1,0.8,1,4,0,0,0,1.0,0
169,Cafe Fiasco ,972193321,Schweigaardsgate 4,0185,OSLO,4.0,2.0,1483.0,6,0.2222222222222222,9,1,0,1,2,0.6666666666666666,5,2,2,0,0,2.5,1
171,Cafe Laundromat ,895250252,Pilestredet 71,0354,OSLO,4.1,2.0,941.0,8,0.2222222222222222,9,1,1,1,2,0.8888888888888888,3,4,2,0,0,2.0,1
172,Cafe Platz,926825119,Operagata 61 d,0194,OSLO,4.5,2.0,68.0,1,0.0,1,1,1,1,1,1.0,0,1,0,0,0,1.0,0
173,Cafe Provence,992379898,ARBEIDERSAMFUNNETS PLASS 1,0181,OSLO,4.4,2.0,98.0,19,0.6,15,0,0,1,3,1.2666666666666666,6,0,8,1,0,4.555555555555555,2
174,Cafe Sara,999273912,Hausmannsgate 29A,0182,OSLO,4.3,2.0,3098.0,9,0.3,10,1,1,1,2,0.9,4,3,3,0,1,2.5,1
175,Cafe Skansen,991821554,RÅDHUSGATA 32,0151,OSLO,4.0,2.0,1639.0,9,0.4,10,1,1,1,2,0.9,5,1,4,0,1,3.4,2
176,Cafe Stamboul Cafe Berfin ANS,983865380,VOGTS GATE 45,0477,OSLO,4.1,1.0,108.0,7,0.125,8,0,1,1,2,0.875,2,5,1,0,0,1.5,1
177,Cafe Tekehtopa,977501369,St. Olavs plass 2,0165,OSLO,3.9,2.0,441.0,5,0.1428571428571428,7,1,1,1,2,0.7142857142857143,3,3,1,0,1,1.75,1
178,Cafe Villa Grande ,915056431,Huk Aveny 56,0286,OSLO,3.9,2.0,27.0,7,0.5,6,1,0,1,2,1.1666666666666667,2,1,3,0,0,3.25,2
179,Cafe di Roma,995163489,SOFIENBERGGATA 6,0551,OSLO,4.5,1.0,363.0,8,0.3333333333333333,9,1,1,1,2,0.8888888888888888,4,2,3,0,0,2.8,1
180,Cafehjørnet ,996642453,Grorud senter,0963,OSLO,3.9,2.0,12.0,5,0.4,5,1,0,1,2,1.0,2,1,2,0,0,3.0,1
181,Cafero AS,899016432,DRAMMENSVEIEN 130,0277,OSLO,3.9,2.0,129.0,9,0.3333333333333333,9,1,0,1,2,1.0,3,3,3,0,0,2.5,1
182,Campo de' Fiori,994595679,Josefines gate 23,0351,OSLO,4.4,3.0,509.0,6,0.3333333333333333,6,1,1,1,2,1.0,2,2,2,0,0,2.5,1
184,Carlton Oslo Hotel Guldsmeden ,974075881,PARKVEIEN 78,0254,OSLO,4.2,2.0,351.0,7,0.25,8,1,0,0,2,0.875,3,3,2,0,1,2.2,1
185,Carmel Grill,979521758,DRONNINGENS GATE 27,0154,OSLO,4.1,1.0,723.0,5,0.25,8,1,0,1,2,0.625,5,1,2,0,0,3.0,1
186,Casa Matta,925396206,Frognerveien 58,0266,OSLO,4.2,2.0,98.0,2,0.5,2,1,1,1,2,1.0,1,0,1,0,0,4.0,2
187,"Casa Mexico by Stamhuset, Vippa",921778732,Akershusstranda 25 - Vippa Skur 40,0150,OSLO,2.4,2.0,9.0,1,0.0,1,0,0,1,1,1.0,0,1,0,0,0,1.0,0
188,Castello Restaurant og Bar,915465870,Sørengkaia 99,0194,OSLO,4.5,2.0,245.0,1,0.0,1,1,1,1,1,1.0,0,1,0,0,0,1.0,0
189,Cebiche AS,926365568,Mathallen Vulkan 5,0178,OSLO,4.8,2.0,21.0,1,0.0,1,1,1,1,1,1.0,0,1,0,0,0,1.0,0
190,Centropa Restaurant,922952531,Anne Cath Vestlys plass 1,0150,OSLO,3.8,2.0,119.0,1,0.0,1,1,1,1,1,1.0,0,1,0,0,0,1.0,0
192,Cesar bar  ,997094522,C. J. HAMBROS PLASS 2,0164,OSLO,4.0,2.0,233.0,7,0.4285714285714285,7,1,1,1,2,1.0,3,1,3,0,0,3.25,2
193,Chez Colin,915022049,FREDENSBORGVEIEN 44,0177,OSLO,4.7,3.0,509.0,6,0.1666666666666666,6,1,1,1,2,1.0,1,4,1,0,1,1.6,1
194,Chinatown ,976195426,VALKYRIEGATA 15,0366,OSLO,3.3,2.0,232.0,12,0.4,10,0,1,1,3,1.2,3,3,3,1,0,3.4285714285714284,2
195,Chowk,926953583,Økernveien 9,0653,OSLO,4.8,2.0,38.0,2,0.5,2,1,0,1,2,1.0,1,0,1,0,0,4.0,2
196,Cin Cin Café,921748418,Akersgata 47,0180,OSLO,4.5,2.0,305.0,6,0.6,5,1,1,1,2,1.2,2,0,3,0,0,4.0,2
197,Clarion Collection Hotell Gabelshus,974081156,Gabelsgate 16,0272,OSLO,4.2,2.0,573.0,8,0.375,8,1,0,0,2,1.0,3,2,3,0,1,2.8,1
198,Clarion Hotel The Hub,971745924,Biskop Gunnerus' gate 3,0155,OSLO,4.4,2.0,2564.0,1,0.0,3,1,0,0,1,0.3333333333333333,2,1,0,0,1,1.0,0
199,Club Maccaroni,914451752,Sørkedalsveien 106,0378,OSLO,4.6,2.0,34.0,2,0.0,3,1,0,1,1,0.6666666666666666,1,2,0,0,0,1.0,0
200,Cocoa,927629046,Toftes gate 48A,0556,OSLO,4.5,2.0,250.0,2,0.5,2,1,0,1,2,1.0,1,0,1,0,0,4.0,2
201,Code Restaurant,922634815,Dronning Eufemias gate 18,0191,OSLO,4.5,3.0,146.0,2,0.5,2,1,1,1,2,1.0,1,0,1,0,0,4.0,2
202,Color Fantasy M/S - Cosmopolitan Gourmet Restaurant,992068981,HJORTNESKAIA,0250,OSLO,4.5,2.0,2970.0,0,0.0,6,1,0,0,0,0.0,6,0,0,0,0,0.0,0
203,Color Fantasy M/S - Grand Buffet,992068981,Hjortneskaia,0250,OSLO,4.5,2.0,2970.0,1,0.0,6,1,0,0,1,0.1666666666666666,5,1,0,0,0,1.0,0
204,Color Fantasy M/S - Mamma Bella Pizza Ristorante/Bar Bella,992068981,Hjortneskaia,0250,OSLO,4.3,2.0,138.0,3,0.0,6,1,1,1,1,0.5,3,3,0,0,0,1.0,0
205,Color Fantasy M/S - Observation Lounge,992068981,Hjortneskaia,0250,OSLO,4.5,2.0,2970.0,1,0.0,6,1,0,0,1,0.1666666666666666,5,1,0,0,0,1.0,0
206,Color Fantasy M/S - Oceanic a la carte ,992068981,Hjortneskaia,0250,OSLO,4.5,2.0,2970.0,0,0.0,6,1,0,0,0,0.0,6,0,0,0,0,0.0,0
207,Color Fantasy M/S - Promenaden Café,992068981,Hjortneskaia,0250,OSLO,4.5,2.0,2970.0,0,0.0,6,1,0,0,0,0.0,6,0,0,0,0,0.0,0
208,Color Fantasy M/S - Sports & burgerbar,992068981,HJORTNESKAIA,0250,OSLO,4.5,2.0,2970.0,0,0.0,6,1,0,0,0,0.0,6,0,0,0,0,0.0,0
209,Color Fantasy M/S - Sushi Bar,992068981,Hjortneskaia,0250,OSLO,4.5,2.0,2970.0,0,0.0,2,1,0,0,0,0.0,2,0,0,0,0,0.0,0
210,Color Line AS Kafé,992068981,HJORTNESKAIA,0250,OSLO,4.0,2.0,2.0,1,0.0,5,0,0,0,1,0.2,4,1,0,0,0,1.0,0
211,Color Magic M/S -  Manhattan Gourmet Restaurant,992068981,HJORTNESKAIA,0250,OSLO,4.5,2.0,2970.0,0,0.0,6,1,0,0,0,0.0,6,0,0,0,0,0.0,0
212,Color Magic M/S - Grand buffet,992068981,HJORTNESKAIA,0250,OSLO,4.5,2.0,2970.0,0,0.0,6,1,0,0,0,0.0,6,0,0,0,0,0.0,0
213,Color Magic M/S - Mama Bella Pizza Ristorante,992068981,HJORTNESKAIA,0250,OSLO,4.3,2.0,138.0,2,0.1428571428571428,7,1,1,1,2,0.2857142857142857,6,0,1,0,0,4.0,2
214,Color Magic M/S - Observation Lounge,992068981,HJORTNESKAIA,0250,OSLO,4.5,2.0,2970.0,1,0.0,6,1,0,0,1,0.1666666666666666,5,1,0,0,0,1.0,0
215,Color Magic M/S - Oceanic a la carte,992068981,HJORTNESKAIA,0250,OSLO,4.5,2.0,2970.0,0,0.0,6,1,0,0,0,0.0,6,0,0,0,0,0.0,0
216,Color Magic M/S - Sport & burger bar,992068981,HJORTNESKAIA,0250,OSLO,4.5,2.0,2970.0,0,0.0,6,1,0,0,0,0.0,6,0,0,0,0,0.0,0
217,Color Magic M/S - The Oriental Café,992068981,HJORTNESKAIA,0250,OSLO,4.5,2.0,2970.0,0,0.0,6,1,0,0,0,0.0,6,0,0,0,0,0.0,0
218,Cousins cusine,916747624,STORGATA 25 ,0184,OSLO,4.4,1.0,284.0,2,0.5,2,1,1,1,2,1.0,1,0,1,0,0,4.0,2
219,Coyo,819265372,Sørengkaia165-167,0194,OSLO,3.9,2.0,1337.0,0,0.0,4,1,1,1,0,0.0,4,0,0,0,1,0.0,0
220,Creamy Løkka AS,820233522,Thorvald Meyers gate 32B,0555,OSLO,3.4,2.0,37.0,2,0.5,2,1,0,1,2,1.0,1,0,1,0,0,4.0,2
221,"Crepe House, Vippa",928056473,Akershusstranda 25,0150,OSLO,4.3,2.0,2932.0,0,0.0,1,1,0,1,0,0.0,1,0,0,0,0,0.0,0
222,Creperie de Mari,921858086,Thorvald Meyers gate 65c,0552,OSLO,4.5,2.0,1001.0,2,0.0,2,1,1,1,1,1.0,0,2,0,0,1,1.0,0
223,Crepes & More OSF,926899120,Torggata 16B,0181,OSLO,4.5,2.0,1001.0,1,0.0,1,1,1,1,1,1.0,0,1,0,0,1,1.0,0
224,Cru vin & kjøkken,993077569,INGELBRECHT KNUDSSØNS GATE 1,0365,OSLO,4.4,3.0,208.0,10,0.4,10,1,1,1,2,1.0,4,2,4,0,0,3.0,1
225,Cultivate Food Aker Brygge ,827506052,Bryggetorget 5,0250,OSLO,4.3,2.0,34.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
226,Cultivate Food Helgesens gt,927134047,Helgesens gate 18,0553,OSLO,4.5,1.0,185.0,1,0.0,1,1,1,1,1,1.0,0,1,0,0,0,1.0,0
227,Cultivate Food Myrens ,827889342,Sandakerveien 24C,0473,OSLO,4.0,2.0,5.0,2,0.5,2,1,1,1,2,1.0,1,0,1,0,0,4.0,2
228,Curry &  Ketchup,924481129,Kirkeveien 51,0368,OSLO,4.4,2.0,20.0,2,0.5,2,1,0,1,2,1.0,1,0,1,0,0,4.0,2
229,César Café,922855757,C.J Hambros plass 2,0164,OSLO,4.0,2.0,233.0,1,0.0,1,1,1,1,1,1.0,0,1,0,0,0,1.0,0
230,DAYAX RESTAURANT AS,923627332,Platous gate 2 b,0190,OSLO,4.4,2.0,16.0,4,0.5,4,0,0,1,2,1.0,2,0,2,0,0,4.0,2
231,DUC HOUSE,912745090,HAMMERSBORGGATA 9,0181,OSLO,4.3,2.0,244.0,5,0.3333333333333333,6,1,1,1,2,0.8333333333333334,3,1,2,0,0,3.0,1
232,Damascino restaurant & cafe,920994113,Trondheimsveien 14B,0560,OSLO,4.5,2.0,89.0,2,0.5,2,0,0,1,2,1.0,1,0,1,0,0,4.0,2
233,Dana bakeri,985340951,Niels Henrik Abels vei,0371,OSLO,4.7,1.0,221.0,5,0.6666666666666666,3,1,0,1,3,1.6666666666666667,1,0,1,1,0,6.5,2
234,Dapper Bistro,927272407,Operagata 36,0194,OSLO,4.4,2.0,69.0,1,0.0,1,1,1,1,1,1.0,0,1,0,0,0,1.0,0
235,Dapper Oslo,922953813,Nordre gate 20,0551,OSLO,4.6,2.0,143.0,2,0.5,2,1,0,1,2,1.0,1,0,1,0,1,4.0,2
236,Dattera Bar og Cafe AS / Dattera til Hagen,981656733,GRØNLAND 10,0188,OSLO,4.1,2.0,1216.0,8,0.25,8,1,1,1,2,1.0,2,4,2,0,1,2.0,1
237,De Mi Terra,927149230,Munkedamsveien 26,0250,OSLO,4.7,2.0,36.0,0,0.0,1,1,0,1,0,0.0,1,0,0,0,0,0.0,0
238,De la casa by Bonita,914415047,Frognerveien 35,0266,OSLO,4.6,2.0,274.0,3,0.3333333333333333,3,1,1,1,2,1.0,1,1,1,0,0,2.5,1
239,Dehli Tandoori,972341665,MARIDALSVEIEN 4,0178,OSLO,4.0,2.0,232.0,7,0.375,8,1,1,1,2,0.875,4,1,3,0,0,3.25,2
240,Deli CC,924493542,Lilleakerveien 16,0283,OSLO,4.0,2.0,23.0,2,0.0,2,1,0,1,1,1.0,0,2,0,0,0,1.0,0
241,Delicatessen,980164837,Søndre gate 8,0550,OSLO,4.4,2.0,832.0,11,0.4545454545454545,11,1,1,1,2,1.0,5,1,5,0,1,3.5,2
242,Delicatessen Aker Brygge,811614742,HOLMENS GATE 2,0250,OSLO,4.2,3.0,879.0,5,0.1428571428571428,7,1,1,1,2,0.7142857142857143,3,3,1,0,1,1.75,1
243,Delicatessen tapasbar,996506568,VIBES GATE 8,0356,OSLO,4.2,3.0,572.0,7,0.3333333333333333,9,1,1,1,2,0.7777777777777778,5,1,3,0,1,3.25,2
244,Delicia Jernbantorget,818056982,Jernbanetorget 6,0154,OSLO,4.8,2.0,62.0,3,0.3333333333333333,3,1,0,1,2,1.0,1,1,1,0,0,2.5,1
245,Delicia Oslo City,818056982,Stenersgata 1,050,OSLO,4.1,2.0,147.0,6,0.75,4,1,0,1,2,1.5,1,0,3,0,0,4.0,2
246,Den Glade Gris,999191304,St. Olavs gate 33,0166,OSLO,4.5,2.0,2658.0,6,0.1428571428571428,7,1,1,1,2,0.8571428571428571,2,4,1,0,1,1.6,1
247,Der Peppern Gror,914478685,FRIDTJOF NANSENS PLASS 7,0160,OSLO,4.3,2.0,1295.0,8,0.375,8,1,1,1,3,1.0,4,1,2,1,1,4.5,2
248,Der Peppern Gror,928409430,Dronning Eufemias gate 14,0191,OSLO,4.5,2.0,2.0,1,0.0,1,0,1,1,1,1.0,0,1,0,0,0,1.0,0
249,Der Peppern Gror Via Village,914417813,Munkedamsveien 29,0561,OSLO,4.3,2.0,1295.0,1,0.0,1,1,1,1,1,1.0,0,1,0,0,1,1.0,0
250,Det Grønne Kjøkken ,914151503,Kongens gate 4,0153,OSLO,4.3,2.0,153.0,7,0.4285714285714285,7,1,0,1,2,1.0,3,1,3,0,0,3.25,2
251,Diamond Indian Cuisine ,912082512,SØRKEDALSVEIEN 5,0369,OSLO,4.5,2.0,369.0,11,0.5555555555555556,9,1,1,1,2,1.2222222222222223,3,1,5,0,0,3.5,2
252,Digg Pizza ,923982353,Thorvald Meyers Gate 40A,0555,OSLO,4.3,1.0,193.0,5,0.4,5,1,0,1,2,1.0,2,1,2,0,0,3.0,1
253,Digg Pizza Storo,923982353,Vitaminveien 7-9,0485,OSLO,4.1,2.0,111.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
254,Digg Pizza Torggata,923982353,Torggata 18,0181,OSLO,4.5,2.0,54.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
255,Dim Sum by New Taste of China,917229481,TORDENSKIOLDS GATE 8-10,0160,OSLO,4.4,2.0,1045.0,7,0.2857142857142857,7,1,1,1,2,1.0,2,3,2,0,1,2.2,1
256,Din Deli Tullin,925692522,Kristian August gate 15A,0164,OSLO,4.5,2.0,25.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
257,Dinner Bar & Restaurant,972198137,STORTINGSGATA 22,0161,OSLO,4.5,2.0,2168.0,7,0.25,8,1,1,1,2,0.875,3,3,2,0,1,2.2,1
258,Dirty Vegan OSF,928847241,Dronning Eufemias gate 14,0191,OSLO,4.9,2.0,45.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
259,Dobbel,897124092,TORDENSKIOLDS GATE 3,0160,OSLO,4.8,2.0,10.0,13,0.5454545454545454,11,0,0,1,3,1.181818181818182,5,0,5,1,0,4.833333333333333,2
260,Domino's Pizza,985312540,SOGNSVEIEN 75A,0855,OSLO,3.6,2.0,320.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,1,1.0,0
261,Domino's Pizza Grorud,819474842,Grorud Senter,0963,OSLO,3.4,2.0,135.0,1,0.0,2,1,0,1,1,0.5,1,1,0,0,1,1.0,0
262,Domino's Pizza Lambertseter,921178530,Langbølgen 5,1150,OSLO,3.9,2.0,138.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,1,1.0,0
263,Domino's Pizza avd. Skøyen,920926991,Engebrets vei 7,0275,OSLO,3.6,2.0,125.0,2,0.0,2,1,0,1,1,1.0,0,2,0,0,1,1.0,0
264,Dominos pizza grünerløkka,919903805,Thorwald Meyers gate 72,0552,OSLO,3.6,2.0,210.0,1,0.0,1,1,1,1,1,1.0,0,1,0,0,1,1.0,0
265,Domino’s Pizza Tveita,989490567,TVETENVEIEN 150,0671,OSLO,3.7,2.0,214.0,0,0.0,1,1,1,1,0,0.0,1,0,0,0,1,0.0,0
266,Dovrestua ,899607562,STORGATA 22,0184,OSLO,3.8,1.0,728.0,23,0.6666666666666666,15,1,1,1,3,1.5333333333333334,5,0,7,3,0,5.5,2
267,Dr. Pizza avd. Galgeberg Lincoln Pub AS,993801348,GALGEBERG 3,0657,OSLO,3.5,1.0,104.0,11,0.4545454545454545,11,1,1,1,2,1.0,5,1,5,0,0,3.5,2
268,Drabantan kjøkken og bar  ,916606125,VEITVETVEIEN 8,0596,OSLO,4.8,2.0,81.0,4,0.0,4,1,1,1,1,1.0,0,4,0,0,0,1.0,0
269,Dragens Restaurant,981350715,Refstadveien 68,0589,OSLO,4.2,1.0,202.0,13,0.4545454545454545,11,1,1,1,3,1.181818181818182,4,2,4,1,0,3.857142857142857,2
270,Dragon Bowl,925609560,Nydalsveien 33,0484,OSLO,4.4,2.0,23.0,2,0.5,2,1,0,1,2,1.0,1,0,1,0,0,4.0,2
271,Duck & dim sum,928523853,Dronning Eufemias gate 14,0191,OSLO,1.0,2.0,1.0,2,0.3333333333333333,3,0,0,1,2,0.6666666666666666,2,0,1,0,0,4.0,2
272,Duckpin,926470167,Torggata 28,0183,OSLO,4.1,2.0,112.0,1,0.0,1,1,1,1,1,1.0,0,1,0,0,0,1.0,0
273,Döner Bros avd. Torggata,923130942,Osterhausgate 12 A,0183,OSLO,4.1,2.0,206.0,2,0.5,2,1,0,1,2,1.0,1,0,1,0,0,4.0,2
274,Døgnvill Bar & Burger,998006945,MARIDALSVEIEN 13,0178,OSLO,4.4,2.0,1557.0,3,0.125,8,1,1,1,2,0.375,6,1,1,0,0,2.5,1
275,Døgnvill Burger Bjørvika,820562232,Operagata 6,0150,OSLO,4.3,2.0,903.0,0,0.0,3,1,1,1,0,0.0,3,0,0,0,0,0.0,0
276,Døgnvill Burger Tjuvholmen,914798884,LILLE STRANDEN 10,0252,OSLO,4.4,2.0,2649.0,9,0.2222222222222222,9,1,1,1,3,1.0,3,4,1,1,0,2.8333333333333335,1
277,EFF EFF,922537550,Fredensborgveien 22A,0177,OSLO,4.5,2.0,70.0,2,0.0,2,1,1,1,1,1.0,0,2,0,0,0,1.0,0
279,ENOTECA VINBAR,980261565,BYGDØY ALLE 59A,0265,OSLO,4.3,2.0,174.0,8,0.375,8,1,1,1,2,1.0,3,2,3,0,0,2.8,1
280,EZO,913646754,Nordre gate 20,0552,OSLO,4.1,2.0,289.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
281,East Kitchen,997277309,MARKVEIEN 50,0554,OSLO,4.3,1.0,390.0,14,0.4615384615384615,13,1,1,1,3,1.0769230769230769,6,1,5,1,0,4.285714285714286,2
282,Eat Thai,813804182,Kongens gate 23,0153,OSLO,3.7,2.0,107.0,10,0.4,10,1,0,1,2,1.0,4,2,4,0,0,3.0,1
283,Eat Thai Aker Brygge,927006812,Fjordalleen 4,0250,OSLO,4.2,2.0,68.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
284,Eat Thai Lamberseter,827108162,Cecilie Thoresensvei 17,1153,OSLO,4.2,2.0,19.0,2,0.5,2,1,0,1,2,1.0,1,0,1,0,0,4.0,2
285,Eat Thai Løren,927182122,Lørenveien 44,0259,OSLO,4.1,2.0,18.0,2,0.5,2,1,0,1,2,1.0,1,0,1,0,0,4.0,2
286,Eataly Ristorante,982495792,BRYGGETORGET 18,0250,OSLO,4.2,2.0,980.0,5,0.1428571428571428,7,1,1,1,2,0.7142857142857143,3,3,1,0,0,1.75,1
287,Eckers Ullevold,925335789,Vestgrensa 2,0851,OSLO,4.5,2.0,45.0,2,0.5,2,1,0,1,2,1.0,1,0,1,0,0,4.0,2
288,Eftir AS,925265357,Markveien 35 B,0551,OSLO,5.0,2.0,5.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
289,Egon Byporten Norport A/S,979975635,JERNBANETORGET 06 ,0154,OSLO,3.9,2.0,2787.0,7,0.25,8,1,1,1,2,0.875,3,3,2,0,0,2.2,1
290,Egon Nordstrand,971675470,Ekebergveien 228b,1162,OSLO,3.9,2.0,570.0,4,0.0,5,1,1,1,1,0.8,1,4,0,0,0,1.0,0
291,Egon Restaurant,973870718,KARL JOHANS GATE 37,0162,OSLO,3.9,2.0,1940.0,6,0.0,7,1,1,1,1,0.8571428571428571,1,6,0,0,0,1.0,0
292,Egon Ullevål,892312192,SOGNSVEIEN 77C,0855,OSLO,3.8,2.0,487.0,7,0.1428571428571428,7,1,1,1,2,1.0,1,5,1,0,0,1.5,1
293,Eik teatro vika as,921649924,Dronning Mauds gate 1,0250,OSLO,4.3,2.0,127.0,1,0.0,1,1,1,1,1,1.0,0,1,0,0,0,1.0,0
294,Ekebergrestauranten ,987325925,Kongsveien 15,0193,OSLO,4.3,3.0,1817.0,6,0.2857142857142857,7,1,1,1,2,0.8571428571428571,3,2,2,0,1,2.5,1
295,El Aroma,998850584,Bogstadveien 8,0355,OSLO,4.3,2.0,125.0,2,0.5,2,1,1,1,2,1.0,1,0,1,0,0,4.0,2
296,El Burro,922572984,Jernbanetorget 6 ,0154,OSLO,3.9,2.0,194.0,2,0.5,2,1,1,1,2,1.0,1,0,1,0,0,4.0,2
297,El Camino,914021839,Niels Juels Gate 31,0256,OSLO,4.3,2.0,441.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
298,El Camino AS Avd. Bogstadveien ,922356408,Bogstadveien 20,0355,OSLO,4.0,2.0,345.0,2,0.3333333333333333,3,1,1,1,2,0.6666666666666666,2,0,1,0,0,4.0,2
299,Eldhuset Bislett,918285393,DALSBERGSTIEN 19,0170,OSLO,4.4,2.0,285.0,9,0.5,8,1,1,1,2,1.125,3,1,4,0,0,3.4,2
300,Eldhuset Kristiania Skjenkestue,981225244,OLAF RYES PLASS 9,0552,OSLO,4.4,2.0,930.0,13,0.5,12,1,1,1,2,1.0833333333333333,5,1,6,0,0,3.5714285714285716,2
301,Elefanten,923857680,Romsås Senter 1,0970,OSLO,4.6,2.0,26.0,3,0.3333333333333333,3,1,1,1,2,1.0,1,1,1,0,0,2.5,1
302,Elias Mat & Sånt,881521032,Kristian August gate 14,0164,OSLO,4.4,2.0,771.0,2,0.0,2,1,1,1,1,1.0,0,2,0,0,0,1.0,0
303,Elise Cafe,971710772,Elisenbergveien 22,0265,OSLO,4.1,2.0,166.0,1,0.0,2,1,1,1,1,0.5,1,1,0,0,0,1.0,0
304,Engebret Cafe ,990636362,BANKPLASSEN 1,0151,OSLO,4.4,3.0,1074.0,11,0.4545454545454545,11,1,1,1,2,1.0,5,1,5,0,1,3.5,2
305,Entrecote by Trancher,918844996,Bryggetorget 10,0250,OSLO,4.1,2.0,280.0,7,0.4285714285714285,7,1,1,1,2,1.0,3,1,3,0,0,3.25,2
306,Esaias,972128910,Dronningens gate 27,0154,OSLO,4.3,2.0,148.0,5,0.6666666666666666,3,1,1,1,3,1.6666666666666667,1,0,1,1,0,6.5,2
307,Espresso House,914266254,Schweigaardsgate 6,0185,OSLO,4.0,2.0,130.0,4,0.0,4,1,0,1,1,1.0,0,4,0,0,0,1.0,0
308,Espresso House,915374522,Storgata 32,0184,OSLO,3.9,2.0,240.0,6,0.3333333333333333,6,1,0,1,2,1.0,2,2,2,0,0,2.5,1
309,Espresso House,917379289,STOVNER SENTER 3,0985,OSLO,3.6,2.0,83.0,13,0.5,12,1,0,1,2,1.0833333333333333,5,1,6,0,0,3.5714285714285716,2
310,Espresso House Aker Brygge,914266335,STRANDEN 1,0250,OSLO,4.1,2.0,918.0,5,0.1428571428571428,7,1,0,1,2,0.7142857142857143,3,3,1,0,0,1.75,1
311,Espresso House Byporten (andre etasje),913091450,Jernbanetorget 6,0154,OSLO,3.5,2.0,58.0,6,0.4285714285714285,7,1,0,1,2,0.8571428571428571,4,0,3,0,0,4.0,2
312,Espresso House Byporten nr 804,913091450,JERNBANETORGET 6,0154,OSLO,3.5,2.0,58.0,10,0.4545454545454545,11,1,0,1,2,0.9090909090909092,6,0,5,0,0,4.0,2
313,Espresso House Continental ,813091542,OLAV VS GATE 2,0161,OSLO,4.1,2.0,1108.0,12,0.4545454545454545,11,1,1,1,2,1.0909090909090908,4,2,5,0,0,3.142857142857143,2
314,Espresso House Flytogterminalen ,914800099,Jernbanetorget 1,0154,OSLO,3.6,2.0,303.0,1,0.0,2,1,0,1,1,0.5,1,1,0,0,0,1.0,0
315,Espresso House Glasmagasinet ,918590072,Stortorvet 9,0155,OSLO,4.0,2.0,625.0,5,0.2,5,1,0,1,2,1.0,1,3,1,0,0,1.75,1
316,Espresso House Nordregate Oslo,925060070,Nordre gate 18,0551,OSLO,3.9,2.0,394.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
317,Espresso House Norge AS Avd Linderud Senter 862,822625312,Erich Mogensøns vei 38,0594,OSLO,3.3,2.0,32.0,2,0.0,2,1,0,1,1,1.0,0,2,0,0,0,1.0,0
